term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
discrim_mean,-0.176,0.192,-0.9171603373365844,0.363,-0.562,0.209,Model 4: + Belonging (split) + Discrim
german_citizen_binaryYes:migration_backgroundYes,-1.654,1.208,-1.3693747746261231,0.176,-4.074,0.765,Model 4: + Belonging (split) + Discrim
(Intercept),2.241,1.332,1.6828068885539025,0.098,-0.426,4.909,Model 4: Alternative trust - minimal trust scale
german_citizen_binaryYes,1.974,1.284,1.53727003711408,0.13,-0.597,4.546,Model 4: Alternative trust - minimal trust scale
migration_backgroundYes,1.27,1.253,1.0131469674092224,0.315,-1.24,3.78,Model 4: Alternative trust - minimal trust scale
age,0.011,0.013,0.8578809752229483,0.395,-0.014,0.036,Model 4: Alternative trust - minimal trust scale
gender_binaryMale,0.018,0.31,0.05745627914285174,0.954,-0.603,0.639,Model 4: Alternative trust - minimal trust scale
uni_binaryUni,-0.132,0.415,-0.31782181226113887,0.752,-0.963,0.699,Model 4: Alternative trust - minimal trust scale
pb_citizenship,-0.266,0.094,-2.8170600376507635,0.007,-0.455,-0.077,Model 4: Alternative trust - minimal trust scale
pb_belonging,0.574,0.095,6.017913176221019,0,0.383,0.766,Model 4: Alternative trust - minimal trust scale
discrim_mean,-0.131,0.207,-0.6338037323222379,0.529,-0.547,0.284,Model 4: Alternative trust - minimal trust scale
german_citizen_binaryYes:migration_backgroundYes,-1.934,1.302,-1.4845670081138778,0.143,-4.542,0.675,Model 4: Alternative trust - minimal trust scale
(Intercept),2.287,1.264,1.8100930216234896,0.076,-0.245,4.819,Model 4: Alternative migration - migration generation
german_citizen_binaryYes,1.766,1.214,1.454930179622333,0.151,-0.667,4.199,Model 4: Alternative migration - migration generation
migration_generation2nd gen,1.25,1.6,0.7812039576454757,0.438,-1.957,4.458,Model 4: Alternative migration - migration generation
migration_generation1st gen,1.136,1.189,0.955754299863895,0.343,-1.246,3.519,Model 4: Alternative migration - migration generation
age,0.009,0.012,0.7507675554564397,0.456,-0.015,0.033,Model 4: Alternative migration - migration generation
gender_binaryMale,-0.044,0.294,-0.14823338351696136,0.883,-0.632,0.545,Model 4: Alternative migration - migration generation
uni_binaryUni,-0.161,0.392,-0.40990659251383893,0.683,-0.945,0.624,Model 4: Alternative migration - migration generation
pb_citizenship,-0.221,0.096,-2.3122932132773366,0.025,-0.412,-0.029,Model 4: Alternative migration - migration generation
pb_belonging,0.566,0.093,6.106119826769308,0,0.38,0.751,Model 4: Alternative migration - migration generation
discrim_mean,-0.165,0.198,-0.8331053912621965,0.408,-0.563,0.232,Model 4: Alternative migration - migration generation
german_citizen_binaryYes:migration_generation2nd gen,-1.806,1.629,-1.1090917385899175,0.272,-5.07,1.458,Model 4: Alternative migration - migration generation
german_citizen_binaryYes:migration_generation1st gen,-1.506,1.302,-1.1569709771551748,0.252,-4.115,1.103,Model 4: Alternative migration - migration generation
